area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,PrOakSi,2000,4,1,208
Plot  Area,Ready To Move,Begumganj,4 Bedroom,,1453,4,1,106.6666667
Super built-up  Area,Ready To Move,Hajiganj,2 BHK,,1092,2,2,28.66666667
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,SyavuHo,1400,2,0,50
Super built-up  Area,Ready To Move,Chitalmari,3 BHK,Rerelve,1416,2,1,56.66666667
Built-up  Area,Ready To Move,Iti Layout,3 BHK,BMityre,1602,2,1,50
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Music C,1100,2,1,27.33333333
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,Somumys,1760,3,,73.33333333
Super built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,3800,4,3,156.6666667
Super built-up  Area,Ready To Move,Khansama,2 BHK,,1037,2,1,24.18666667
Super built-up  Area,Ready To Move,Bagha,3 BHK,IBityin,1384,2,2,50.78666667
Super built-up  Area,22-Jan,Vajarahalli,1 BHK,,551,1,1,20
Plot  Area,Ready To Move,Bijoynagar,4 Bedroom,,2400,5,,833.3333333
Plot  Area,Ready To Move,Ashuganj,1 Bedroom,,500,1,0,46.66666667
Super built-up  Area,18-Apr,Bagher Para,2 BHK,SNityVe,900,2,2,18.65333333
Plot  Area,Ready To Move,Delduar,3 Bedroom,,1415,2,1,49.33333333
Super built-up  Area,18-Mar,Rajarajesheari Nagar,2 BHK,,1400,2,1,29.86666667
Plot  Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,,1300,4,1,34.66666667
Built-up  Area,Ready To Move,Millers Road,3 BHK,,2850,4,3,306.6666667
Built-up  Area,Ready To Move,Daudkandi,2 BHK,MJinala,1030,2,2,50
Built-up  Area,Ready To Move,Domar,2 BHK,Prrtht ,883,2,1,26
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,,550,1,1,10.66666667
Super built-up  Area,Ready To Move,Islampur,4 BHK,,1800,4,2,36.66666667
Plot  Area,Ready To Move,Yemlur,5 Bedroom,Epllan ,10000,5,,1300
Super built-up  Area,Ready To Move,Bandar,2 BHK,Brglede,1210,2,1,51.33333333
Plot  Area,Ready To Move,Kalkini,4 Bedroom,,2000,3,0,60
Super built-up  Area,21-Oct,Agailjhara,3 BHK,PrarePa,1100,3,1,38.66666667
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,,1780,3,1,66.66666667
Plot  Area,Ready To Move,2Nd Block Hbr Layout,5 Bedroom,,950,5,2,36.66666667
Built-up  Area,Ready To Move,Bera,2 BHK,,1050,2,2,40
Super built-up  Area,Ready To Move,Bhola Sadar,3 BHK,Collsrn,1370,3,3,25.57333333
Super built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,3951,4,3,153.3333333
Super built-up  Area,Ready To Move,Babuganj,3 BHK,BhreeBa,2500,4,2,74.66666667
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,,1050,2,1,33
Super built-up  Area,Ready To Move,Islampur,3 BHK,,1843,3,1,58.36
Plot  Area,Ready To Move,3Rd Block Banashankari,4 Bedroom,,1200,4,1,116.6666667
Super built-up  Area,Ready To Move,Daulatpur,2 BHK,ManceEl,1186,2,1,50.66666667
Super built-up  Area,18-Aug,Atpara,1 BHK,SNnia E,560,1,1,30
Super built-up  Area,Ready To Move,Khoksa,3 BHK,AriosHe,2357,3,2,90
Plot  Area,Ready To Move,Kalaroa,4 Bedroom,,1200,3,1,106.6666667
Super built-up  Area,20-Jan,Laxmichhari,3 BHK,Aduil T,1823,3,2,68.66666667
Built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,1310,3,3,60
Super built-up  Area,Ready To Move,Baniachong,3 BHK,CaestSr,1520,2,2,40
Super built-up  Area,18-Jul,Bhanga,3 BHK,Rosha I,1610,3,1,49.35333333
Plot  Area,18-Aug,Abhaynagar,3 Bedroom,,1500,3,1,52.38
Super built-up  Area,Ready To Move,Kishoreganj,3 BHK,MCrds S,1400,2,2,53.33333333
Super built-up  Area,Ready To Move,Ghatail,3 BHK,,1625,3,2,80
Plot  Area,Ready To Move,Cumilla Sadar(South),5 Bedroom,,1500,5,3,176.6666667
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,,900,2,1,16
Built-up  Area,Ready To Move,Burichang,2 BHK,,1100,2,0,21.33333333
Super built-up  Area,Ready To Move,Araihazar,2 BHK,,1000,2,1,33.33333333
Super built-up  Area,18-Dec,Chougachha,4 BHK,Jaades ,2774,4,3,131.3333333
Super built-up  Area,Ready To Move,Bagha,1 BHK,Vaarai ,994,2,0,36.44666667
Super built-up  Area,Ready To Move,Baraigram,3 BHK,ARncy R,1455,3,3,50
Plot  Area,Ready To Move,Austagram,5 Bedroom,Arncyd ,1200,3,1,52.66666667
Built-up  Area,Ready To Move,Chatkhil,2 BHK,RothaVa,1172,2,1,50
Super built-up  Area,Ready To Move,Bawphal,3 BHK,,1935,3,2,68
Super built-up  Area,Ready To Move,Bashail,3 BHK,Ameur G,1856,3,3,70.66666667
Super built-up  Area,Ready To Move,Chougachha,3 BHK,,2392,3,2,166
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,Gaent R,900,2,2,23.33333333
Built-up  Area,Ready To Move,Anwara,3 BHK,ChionCo,1757,3,3,65.33333333
Super built-up  Area,Ready To Move,Daudkandi,2 BHK,,1027,2,2,29.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Nillsre,1626,3,3,56.66666667
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2 BHK,,1200,2,1,36
Super built-up  Area,19-Dec,Bagerhat Sadar,3 BHK,Caycend,1559,3,1,54.36666667
Super built-up  Area,Ready To Move,Durgapur,2 BHK,,1190,2,2,33.33333333
Super built-up  Area,Ready To Move,Badalgachi,2 BHK,SVlesas,1200,2,1,48
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,Prncyrn,1174,2,1,49.33333333
Built-up  Area,Ready To Move,Agailjhara,2 BHK,,1140,2,1,43.33333333
Built-up  Area,Ready To Move,Vibuthipura,3 BHK,Tantsod,1603,2,0,83.33333333
Super built-up  Area,Ready To Move,Birampur,3 BHK,Prldsri,1278,3,2,46.66666667
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180,3,,190
Super built-up  Area,Ready To Move,Dhamrai,2 BHK,DatroGo,1085,2,1,33.33333333
Super built-up  Area,19-Jun,Abhaynagar,2 BHK,Pae 2ov,1195,2,1,40.90666667
Plot  Area,Ready To Move,Kamakshipalya,1 Bedroom,,450,1,0,20
Super built-up  Area,19-Jan,Atwari,4 BHK,,6500,5,2,933.3333333
Super built-up  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 1hu,550,1,1,7.666666667
Super built-up  Area,Ready To Move,Hatibandha,2 BHK,AriosPa,1165,2,2,30
Super built-up  Area,Ready To Move,1St Stage Indira Nagar,4 BHK,,3000,4,2,200.6666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1452,3,3,40
Super built-up  Area,18-Jan,Adarsha Sadar,1 BHK,SJityaz,702,1,1,34.66666667
Super built-up  Area,Ready To Move,Bakerganj,2 BHK,,1020,2,1,28.55333333
Super built-up  Area,18-May,Bhuapur,2 BHK,Derdsig,1340,2,1,43.33333333
Super built-up  Area,18-Apr,Amtali,2 BHK,,1125,2,1,36.53333333
Super built-up  Area,Ready To Move,Jcr Layout,2 BHK,ARnamru,1160,2,1,27.02
Built-up  Area,Ready To Move,Birol,2 BHK,DSestil,1050,2,1,33.33333333
Super built-up  Area,19-Dec,Bancharampur,3 BHK,Shestut,1960,3,1,92
Built-up  Area,Ready To Move,Laxmipur Sadar,2 BHK,,1200,3,2,34.66666667
Plot  Area,Ready To Move,Ishwargonj,3 Bedroom,,1200,4,1,146.6666667
Super built-up  Area,18-Dec,Chougachha,4 BHK,Jaades ,3496,4,,174.6666667
Super built-up  Area,Ready To Move,Aditmari,2 BHK,MavanK ,975,2,1,21.33333333
Super built-up  Area,Ready To Move,Daudkandi,3 BHK,MJinala,1700,3,3,83.33333333
Built-up  Area,Ready To Move,Barura,4 Bedroom,,1800,4,0,153.3333333
Plot  Area,Ready To Move,Madavara,4 Bedroom,,612,3,0,31.33333333
Built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1275,2,3,46
Built-up  Area,Ready To Move,Bagha,1 BHK,,650,1,0,26.66666667
Super built-up  Area,Ready To Move,Bahubal,2 BHK,HMonymp,1495,2,2,73.33333333
Super built-up  Area,Ready To Move,Alikadam,2 BHK,Srntsha,1200,2,2,32
Plot  Area,Ready To Move,Haimchar,5 Bedroom,,3750,6,2,196.6666667
Super built-up  Area,19-Mar,Ashasuni,3 BHK,Puachal,1679,3,2,63.24
Super built-up  Area,Ready To Move,Fulchari,3 BHK,,1450,3,2,50
Super built-up  Area,18-Nov,Bhurungamari,2 BHK,Soresea,1210,2,1,54.66666667
Super built-up  Area,18-May,Dwaraka Nagar,3 BHK,,1300,2,1,34
Super built-up  Area,Ready To Move,Ishwargonj,2 BHK,,1165,2,1,33.07333333
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1623,3,3,103.3333333
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,Unm 2El,1115,2,1,23.86666667
Super built-up  Area,Ready To Move,Gouripur,1 BHK,,450,1,1,13.33333333
Super built-up  Area,18-Apr,Bagatipara,2 BHK,Shitt S,1170,2,1,41.33333333
Built-up  Area,Ready To Move,Badalgachi,4 Bedroom,Caxusnd,2065,4,0,165.3333333
Built-up  Area,Ready To Move,Amtali,3 BHK,,1700,3,2,84
Plot  Area,Ready To Move,Alfadanga,6 Bedroom,,1080,5,2,106.6666667
Super built-up  Area,Ready To Move,Gopalpur,2 BHK,SoncyRe,1245,2,1,36.66666667
Built-up  Area,19-Dec,Borhanuddin,2 BHK,GoityEt,1017,2,1,44
Plot  Area,Ready To Move,Ashuganj,6 Bedroom,,650,6,2,53.33333333
Super built-up  Area,18-Mar,Adarsha Sadar,2 BHK,SJityaz,1242,2,1,50
Super built-up  Area,18-Mar,Laxmichhari,3 BHK,Miitat ,1792,3,1,69.33333333
Super built-up  Area,18-Aug,Garebhavipalya,3 BHK,,1275,3,2,36.66666667
Plot  Area,Ready To Move,Barura,6 Bedroom,,1200,6,1,173.3333333
Plot  Area,Ready To Move,7Th Block Jayanagar,3 Bedroom,,2400,3,0,272
Super built-up  Area,Ready To Move,Aditmari,1 BHK,Sidin J,605,1,1,14.66666667
Plot  Area,Ready To Move,Galachipa,4 Bedroom,,1200,4,2,76.66666667
Super built-up  Area,18-Dec,Bagatipara,3 BHK,Shitt S,1450,3,2,52.66666667
Plot  Area,Ready To Move,Kapasia,3 Bedroom,Prana S,1232,3,1,64
Plot  Area,Ready To Move,Kashiani,5 Bedroom,,1800,5,0,46.66666667
Built-up  Area,Ready To Move,Sidedahalli,1 Bedroom,,900,1,1,34.86666667
Super built-up  Area,Ready To Move,Baraigram,2 BHK,,1200,2,2,26.66666667
Super built-up  Area,Ready To Move,Bochaganj,4 BHK,,2100,3,,136
Super built-up  Area,18-Aug,Alfadanga,2 BHK,DSera S,1065,2,1,28.4
Super built-up  Area,Ready To Move,Ags Layout,2 BHK,,1075,2,1,32.25333333
Plot  Area,Ready To Move,Anand Nagar,6 Bedroom,,1508,5,2,160
Super built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2,1,20.66666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,SrncyRe,1070,2,1,28.52666667
Super built-up  Area,Ready To Move,Atpara,3 BHK,NRowse ,1464,3,2,37.33333333
Super built-up  Area,18-Oct,Bhaluka,3 BHK,DNeremo,1910,3,2,100
Built-up  Area,Ready To Move,Khagrachari Sadar,2 BHK,,1280,2,1,80
Super built-up  Area,Ready To Move,Anwara,3 BHK,GrrvaGr,1530,3,2,42.66666667
Built-up  Area,Ready To Move,Bhanga,4 BHK,Pride S,2439,5,2,113.3333333
Super built-up  Area,Ready To Move,Varsova Layout,2 BHK,InhtsHe,1088,2,2,29
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,Prncyrn,1174,2,1,52
Super built-up  Area,18-Dec,Anwara,3 BHK,Prllsan,1587,3,1,49.2
Built-up  Area,Ready To Move,Baraigram,2 BHK,,1045,2,2,36.66666667
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,Prensya,1304,2,1,46.64666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,DSe 2ie,1100,2,2,43.33333333
Super built-up  Area,18-May,Ashasuni,3 BHK,Puachal,1482,2,1,45.93333333
Built-up  Area,18-Mar,Bhuapur,3 Bedroom,,2125,3,1,71.33333333
Super built-up  Area,Ready To Move,Baniachong,5 BHK,,1000,4,0,43.33333333
Super built-up  Area,Ready To Move,Hajiganj,2 BHK,,1194,2,2,30
Super built-up  Area,Ready To Move,Balaganj,2 BHK,Sravema,1200,2,3,28
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2,2,21.99333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Bhentne,1100,2,1,31
Built-up  Area,Ready To Move,Abhaynagar,3 BHK,Hoensti,1270,2,2,43.33333333
Super built-up  Area,Ready To Move,Marasandra,2 BHK,,1000,2,1,20.66666667
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1246,2,1,46
Super built-up  Area,Ready To Move,Anwara,3 BHK,GrrvaGr,1529,3,3,34.51333333
Super built-up  Area,Ready To Move,Ajmiriganj,2 BHK,MenueNo,1185,2,2,28
Super built-up  Area,Ready To Move,Dhumki,2 BHK,,1060,2,1,30.66666667
Super built-up  Area,Ready To Move,Daganbhuiyan,3 BHK,Patri M,1319,3,1,25.16666667
Super built-up  Area,Ready To Move,Guimara,2 BHK,Srsica ,991,2,0,42.66666667
Super built-up  Area,Ready To Move,Ajmiriganj,1 BHK,Pronyt ,662,1,0,25.33333333
Built-up  Area,Ready To Move,Nandini Layout,2 Bedroom,,1200,2,1,73.33333333
Plot  Area,18-Apr,Tc.Palya,3 Bedroom,,1400,2,1,52
Super built-up  Area,Ready To Move,Burichang,3 BHK,,1575,3,2,53.33333333
Plot  Area,Ready To Move,Chatmohar,2 Bedroom,,600,2,0,43.33333333
Plot  Area,Ready To Move,Aditmari,5 Bedroom,,717,5,1,52
Super built-up  Area,Ready To Move,Daganbhuiyan,3 BHK,Patri M,1319,3,1,28
Plot  Area,Ready To Move,Bheramara,3 Bedroom,Sotus L,2000,3,2,200
Plot  Area,Ready To Move,Biswanath,3 Bedroom,,600,3,2,56.66666667
Super built-up  Area,Ready To Move,Bagatipara,2 BHK,,940,2,1,32
Built-up  Area,Ready To Move,Derai,1 Bedroom,,600,1,0,30
Super built-up  Area,18-Sep,Austagram,2 BHK,SunceEs,985,2,1,16.74666667
Plot  Area,Ready To Move,Kishoreganj Sadar,2 Bedroom,,500,1,0,36.66666667
Super built-up  Area,Ready To Move,Kendua,2 BHK,ReudePr,1349,2,2,37.8
Built-up  Area,18-Jun,Abhaynagar,3 Bedroom,,3117,3,2,174
Super built-up  Area,Ready To Move,Belabo,3 BHK,SrisePo,1844,3,3,63.33333333
Super built-up  Area,Ready To Move,Barhatta,3 BHK,Prtanha,1830,4,2,100
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Adeatlm,2275,4,2,123.3333333
Super built-up  Area,18-Jul,Gopalganj Sadar,4 BHK,Mamespa,1791 - 4000,,,164
Super built-up  Area,18-Aug,Jamalganj,2 BHK,,1140,2,2,32.74
Plot  Area,Ready To Move,Koyra,3 Bedroom,,900,3,1,52.66666667
Super built-up  Area,Ready To Move,Jaya Mahal Layout,3 BHK,Nehalri,2648,3,3,158.6666667
Plot  Area,Ready To Move,Ishwargonj,5 Bedroom,,5400,4,,466.6666667
Super built-up  Area,Ready To Move,Bakerganj,3 BHK,,1372,2,2,32.01333333
Built-up  Area,Ready To Move,Sanne Amanikere,3 BHK,Hoxiaa ,1455,2,1,30
Super built-up  Area,Ready To Move,Alikadam,2 BHK,,1100,2,2,25.33333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1295,2,1,36.98
Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1475,3,1,53.33333333
Super built-up  Area,18-Apr,Jamalpur Sadar,3 BHK,PuonsSe,1788,3,1,109.3333333
Super built-up  Area,Ready To Move,Atpara,2 BHK,RInceeg,1243,2,1,30.66666667
Super built-up  Area,Ready To Move,Bagha,3 BHK,Goandn ,1855,3,3,93.33333333
Super built-up  Area,18-Aug,Chandpur Sadar,3 BHK,Sanzaat,1850,3,2,80
Super built-up  Area,Ready To Move,Amtali,3 BHK,Cilip J,1315,2,2,40
Super built-up  Area,18-May,Abhaynagar,2 BHK,Prtates,1216,2,1,48.66666667
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1721,3,2,62
Super built-up  Area,17-Nov,Fulbari,2 BHK,Skacak ,1059,2,1,41.33333333
Built-up  Area,Ready To Move,Kalma Kanda,2 BHK,Skesta ,1184,2,1,36.66666667
Plot  Area,Ready To Move,Laxmichhari,7 Bedroom,,1400,5,2,116.6666667
Super built-up  Area,Ready To Move,Bamna,3 BHK,Proodt ,2223,3,2,200
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1480,3,2,50
Super built-up  Area,Ready To Move,Kishoreganj Sadar,2 BHK,Raellil,635,1,1,18.66666667
Plot  Area,Ready To Move,Kahaloo,2 Bedroom,,2400,2,1,152
Built-up  Area,Ready To Move,Bancharampur,4 Bedroom,,1500,2,0,58
Super built-up  Area,18-May,Banaripara,2 BHK,SStusan,1143,2,1,22.8
Plot  Area,Ready To Move,Adarsha Sadar,4 Bedroom,,3200,4,1,233.3333333
Plot  Area,20-Jul,Agailjhara,4 Bedroom,,3170,4,3,166.6666667
Built-up  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800,4,3,280
Super built-up  Area,Ready To Move,Dhunat,3 BHK,,1485,2,2,39.6
Super built-up  Area,Ready To Move,Atwari,3 BHK,Brway G,1640,3,2,167.3333333
Super built-up  Area,Ready To Move,Bawphal,3 BHK,,1655,2,1,47
Super built-up  Area,22-Jun,Kurigram Sadar,2 BHK,,900,2,2,27.33333333
Super built-up  Area,Ready To Move,Daulatpur,3 BHK,,1600,3,3,46
Built-up  Area,Ready To Move,Neelamangala,2 BHK,,1163,2,2,45.33333333
Carpet  Area,Ready To Move,Brahmanpara,1 BHK,KHatsFl,45.06Sq. Meter,2,1,12
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,ChionCo,1654,3,,65.2
Super built-up  Area,18-Apr,Pragathi Nagar,1 BHK,Asarkia,799 - 803,1,0,22.43
Built-up  Area,Ready To Move,Ngef Layout,4 Bedroom,,2100,3,1,666.6666667
Super built-up  Area,18-Jan,Babuganj,3 BHK,NiCodCa,1685,3,3,67.33333333
Built-up  Area,Ready To Move,Bakerganj,3 BHK,Sksia A,1540,3,3,53.33333333
Super built-up  Area,18-Jan,Ajmiriganj,2 BHK,Bhmesy ,1265,2,1,48
Super built-up  Area,Ready To Move,Bahubal,3 BHK,,1200,2,3,25.6
Built-up  Area,Ready To Move,Amblipura,3 BHK,SuodsAc,1300,2,1,53.33333333
Super built-up  Area,Ready To Move,Jhikargacha,2 BHK,Vaaldak,1009,2,1,43.33333333
Super built-up  Area,Ready To Move,Ramamurthy Nagar Extension,3 BHK,,1540,3,2,43.33333333
Built-up  Area,Ready To Move,Babuganj,3 BHK,,1735,3,3,70
Plot  Area,Ready To Move,Belabo,4 Bedroom,,2500,4,3,200
Super built-up  Area,Ready To Move,Kushtia Sadar,2 BHK,Asara S,497,1,1,13.33333333
Super built-up  Area,Ready To Move,Chatmohar,3 BHK,Taonte ,2480,4,1,176.6666667
Built-up  Area,Ready To Move,Aditmari,2 BHK,VHistal,1142,2,0,23.33333333
Super built-up  Area,18-May,Doctors Layout,3 BHK,,1215,2,2,31.2
Super built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,1070,2,1,32
Super built-up  Area,18-May,Atrai,2 BHK,Sryalan,1125,2,1,21.66
Built-up  Area,18-Jul,Dhanbari,2 BHK,,1125,2,1,21.66
Super built-up  Area,Ready To Move,Bahubal,2 BHK,Doissa ,1575,2,3,56.66666667
Super built-up  Area,18-Dec,Banaripara,2 BHK,SJerse ,1360,2,1,51.74
Super built-up  Area,Ready To Move,Atpara,3 BHK,,1710,3,2,56.66666667
Super built-up  Area,18-May,Atrai,2 BHK,Sryalan,1200,2,1,23.1
Super built-up  Area,Ready To Move,Araihazar,4 BHK,SNity S,2185,3,3,80
Built-up  Area,Ready To Move,Bagalur,4 BHK,Krton S,2400,4,3,90
Super built-up  Area,Ready To Move,Bakerganj,2 BHK,,1195,2,1,23.89333333
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1246,2,1,44.66666667
Super built-up  Area,Ready To Move,Araihazar,2 BHK,Gundaa ,1012,2,1,30
Super built-up  Area,Ready To Move,Laxmipur Sadar,2 BHK,,998,2,2,43.33333333
Plot  Area,Ready To Move,Karimganj,3 Bedroom,,2400,3,1,166.6666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1130,2,2,56.66666667
Super built-up  Area,Ready To Move,Bamna,3 BHK,Proodt ,1744,4,1,140
Super built-up  Area,18-Jul,Atwari,4 BHK,ProdsWe,2733,5,2,172.6666667
Super built-up  Area,Ready To Move,Karnafuli,3 BHK,Ajnue A,1354,2,1,65.33333333
Plot  Area,Ready To Move,Maruthi Nagar,10 Bedroom,,3300,9,,300
Super built-up  Area,Ready To Move,Bheramara,2 BHK,Stlomg ,1389,2,2,62.66666667
Plot  Area,Ready To Move,Bagher Para,4 Bedroom,Puodsm ,2970,3,3,86.66666667
Super built-up  Area,Ready To Move,Itna,3 BHK,Sagalhi,2560,4,,206.6666667
Super built-up  Area,Ready To Move,Chatkhil,2 BHK,,1172,2,2,50
Plot  Area,Ready To Move,5Th Block Jayanagar,3 Bedroom,,500,2,1,50
Super built-up  Area,Ready To Move,Baraigram,3 BHK,,1495,3,2,40
Super built-up  Area,Ready To Move,Baniachong,2 BHK,DSingSt,1738,2,1,38.23333333
Super built-up  Area,Ready To Move,Daulatkhan,2 BHK,,1315,2,2,33.33333333
Super built-up  Area,Ready To Move,Amtali,2 BHK,Xeitaa ,1270,2,3,48.66666667
Super built-up  Area,18-May,Atrai,2 BHK,SNbay G,1160,2,1,34.8
Super built-up  Area,Ready To Move,Anwara,3 BHK,,1450,2,1,44.66666667
Built-up  Area,Ready To Move,Fulbari,1 BHK,,470,1,1,14
Built-up  Area,Ready To Move,2Nd Phase Jp Nagar,2 BHK,,1040,2,2,52
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,,1205,2,2,19.33333333
Super built-up  Area,Ready To Move,Ksrtc Layout,3 BHK,,1215,2,3,33.33333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Maoma P,1135,2,2,38.66666667
Super built-up  Area,Ready To Move,Barura,3 BHK,MBodsen,1224,2,2,32.63333333
Built-up  Area,Ready To Move,Beanibazar,1 BHK,PrityTr,664,1,1,22.66666667
Super built-up  Area,Ready To Move,Aditmari,3 BHK,Itvir M,1160,2,2,28
Plot  Area,Ready To Move,Dighinala,2 Bedroom,,1200,2,0,70
Built-up  Area,18-Aug,Dhanbari,3 BHK,,1220,2,1,23.46666667
Super built-up  Area,Ready To Move,Kendua,2 BHK,FoapeWa,1328,2,2,46
Super built-up  Area,Ready To Move,Bsm Extension,2 BHK,Raave E,975,2,2,30
Built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1907,2,1,133.3333333
Built-up  Area,Ready To Move,Barkal,2 BHK,Beesta ,900,2,1,48
Super built-up  Area,Ready To Move,Banashankari 6Th Stage,2 BHK,,1330,2,2,53.33333333
Super built-up  Area,Ready To Move,Nikli,4 BHK,PuoodSk,2330,5,1,116.6666667
Built-up  Area,Ready To Move,Satkania,3 BHK,JRarlPe,1222,3,2,63.33333333
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,4446,3,2,273.3333333
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Ahriaup,2100,3,1,90
Super built-up  Area,Ready To Move,Adarsha Sadar,4 BHK,Adeatlm,3335,4,3,193.3333333
Built-up  Area,18-Apr,Abhaynagar,3 Bedroom,Prtates,3150,3,1,193.3333333
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,1320,2,1,63.33333333
Plot  Area,Ready To Move,Biswanath,7 Bedroom,,820,7,3,93.33333333
Plot  Area,Ready To Move,Shetty Halli,5 Bedroom,,8000,5,3,366.6666667
Plot  Area,Ready To Move,Ashasuni,4 Bedroom,,2400,5,3,333.3333333
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,SLnssPr,1330,2,2,31.03333333
Plot  Area,Ready To Move,Bhola Sadar,4 Bedroom,KrineAq,2000,4,1,86.66666667
Super built-up  Area,18-Jun,Atrai,2 BHK,Coomee ,1244,2,1,36.66666667
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1000,2,1,33.33333333
Super built-up  Area,18-May,Gunjur Palya,3 BHK,,1400,3,2,30
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Phens G,1000,2,2,23.33333333
Plot  Area,Ready To Move,Atwari,2 Bedroom,,1056,1,0,166.6666667
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,,1250,2,2,33.33333333
Super built-up  Area,19-Jun,Alikadam,4 BHK,Raard B,2470 - 2790,5,0,125.3333333
Super built-up  Area,18-Aug,Jeevan Bima Nagar,2 BHK,,1225,2,2,32
Super built-up  Area,19-Jun,Alikadam,4 BHK,Raard B,2790,5,3,132
Super built-up  Area,Ready To Move,Bijoynagar,4 BHK,,2800,4,3,243.3333333
Super built-up  Area,Ready To Move,Dimla,3 BHK,Niowshi,1683,3,3,53.33333333
Built-up  Area,Ready To Move,Laxmichhari,2 BHK,AdniaSk,1250,2,2,36
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,Maity W,1305,2,1,73.33333333
Plot  Area,Ready To Move,Adarsha Sadar,3 Bedroom,,3009,3,1,220.6666667
Super built-up  Area,Ready To Move,Goalanda,3 BHK,Baowsig,1150,2,1,38.33333333
Built-up  Area,Ready To Move,Baraigram,3 BHK,Clsto C,1654,3,3,46.66666667
Carpet  Area,Ready To Move,Munivenkatppa Layout,4 BHK,Trntska,4500,3,0,150
Super built-up  Area,18-May,Bochaganj,3 BHK,Alestrb,1890,4,3,83.33333333
Super built-up  Area,Ready To Move,Bahubal,2 BHK,,1069,2,2,36.66666667
Super built-up  Area,Ready To Move,Austagram,2 BHK,KHityry,750,1,1,12.33333333
Plot  Area,Ready To Move,Bakerganj,4 Bedroom,,675,4,0,93.33333333
Built-up  Area,17-Dec,Bakshiganj,3 Bedroom,,2400,3,1,118
